poll_id;message_id;question;proportion;type;author_id;channel_id;guild_id;timestamp;duration;closed;votes
22;1454066726164496426;"Souhaitez-vous l'adoption de la "Proposition de loi - Reconnaissance mutuelle avec la Nesquacie"";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1766746922;604800;1;767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001,1283005952509087755,826362651324055572,386892659442057221,946442002558492692,692717393503453284:o,1292762566606585858,779843063131930694,1330300641108688968,1365387648080023572,947480095730315285,778605583988817971:o,1405844093237465089:b,746035946247684126,670687441291706368:o,688394725237063774:o,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655:o,626799515688763410,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310,442350609174233100:o
23;1454067199429054495;"Proposition de loi - Reconnaissance mutuelle avec Espradal";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1766747035;604800;1;767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001,1283005952509087755,826362651324055572,386892659442057221,946442002558492692,692717393503453284:o,1292762566606585858,779843063131930694,1330300641108688968,1365387648080023572,947480095730315285,778605583988817971:o,1405844093237465089:b,746035946247684126,670687441291706368:o,688394725237063774:o,290399324217802753,518833508983111691,516631614319624193,1395746373139431565:b,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655:o,626799515688763410,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310,442350609174233100:o
24;1454067401451634824;"Proposition de loi - Reconnaissance mutuelle avec Vahyxia";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1766747083;604800;1;767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001,1283005952509087755,826362651324055572,386892659442057221,946442002558492692,692717393503453284:o,1292762566606585858,779843063131930694:b,1330300641108688968,1365387648080023572,947480095730315285,778605583988817971:o,1405844093237465089:b,746035946247684126:o,670687441291706368:o,688394725237063774:o,290399324217802753,518833508983111691,516631614319624193,1395746373139431565:o,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655:o,626799515688763410:b,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392:o,777127599569633310,442350609174233100:o
25;1455239977364488363;"Proposition de loi - Fête nationale et autres jours de fête";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1767026647;604800;1;767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001,1283005952509087755,826362651324055572,386892659442057221:o,946442002558492692,652889258343792661,692717393503453284,1292762566606585858,779843063131930694:o,1330300641108688968,1365387648080023572,947480095730315285:o,778605583988817971,1405844093237465089:o,785588477890789406,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:o,516631614319624193,1395746373139431565,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:b,581187099252752395,1127299739017285655,626799515688763410:o,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310,442350609174233100:o,1223690418957586443,781224979919274014:o,1446577804018974860:o,1375846324301336676,1450816239592144957,1445807853028773940:n
26;1455242095030833213;"Proposition de loi - Reconnaissance mutuelle avec la Crisardie";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1767027152;604800;1;767059570710413384,452502457684197399:o,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221:b,946442002558492692:o,652889258343792661,692717393503453284,1292762566606585858,779843063131930694:b,1330300641108688968,1365387648080023572,947480095730315285:n,778605583988817971,1405844093237465089:b,785588477890789406,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:n,516631614319624193,1395746373139431565:o,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410:b,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310,442350609174233100:o,1223690418957586443:o,781224979919274014:b,1446577804018974860:o,1375846324301336676,1450816239592144957:o,1445807853028773940:n
27;1455242845719105550;"Proposition de loi - Reconnaissance mutuelle avec Mougins";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1767027331;604800;1;767059570710413384,452502457684197399:n,1204140730654793751:o,539168852429242397:o,1449803263703650384,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221:b,946442002558492692:o,652889258343792661:b,692717393503453284:o,1292762566606585858,779843063131930694:o,1330300641108688968,1365387648080023572,947480095730315285:n,778605583988817971:b,1405844093237465089:b,785588477890789406,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:b,516631614319624193,1395746373139431565:n,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410:b,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310,442350609174233100:o,1223690418957586443:o,781224979919274014:n,1446577804018974860:n,1375846324301336676:b,1450816239592144957:n,1445807853028773940:o
28;1456318088818724955;"Souhaitez-vous l’adoption de «Code général communal correction» ?";0.5;"l";1283005952509087755;1424830966287044678;1424789525493973066;1767283687;604800;1;767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001:b,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,652889258343792661,692717393503453284:o,1292762566606585858,779843063131930694,1330300641108688968,1365387648080023572,947480095730315285,778605583988817971:o,1405844093237465089:o,785588477890789406,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:n,516631614319624193,1395746373139431565,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960,581187099252752395,1127299739017285655,626799515688763410,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310:n,442350609174233100,1223690418957586443,781224979919274014,1446577804018974860:n,1375846324301336676:o,1450816239592144957,1445807853028773940,708809413166891020:o,1201956865450455100:b
29;1456319433583628413;"Souhaitez-vous l’adoption du «Règlement du serveur»";0.5;"l";1283005952509087755;1424830966287044678;1424789525493973066;1767284010;604800;1;767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397,1449803263703650384,1402792961955205240,880162676972585001:b,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,652889258343792661,692717393503453284:o,1292762566606585858,779843063131930694:o,1330300641108688968,1365387648080023572,947480095730315285,778605583988817971:o,1405844093237465089,785588477890789406,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:b,516631614319624193,1395746373139431565,432178088252669954,1251522518963982369,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410,376057817720815628,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310:o,442350609174233100,1223690418957586443:o,781224979919274014,1446577804018974860:n,1375846324301336676:n,1450816239592144957,1445807853028773940,708809413166891020:o,1201956865450455100:o
30;1458851489962397799;"Proposition de loi - Reconnaissance mutuelle avec la Cliponie";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1767887699;604800;1;1375846324301336676:o,767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397:o,1445807853028773940,1449803263703650384,1201956865450455100:o,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,708809413166891020:o,652889258343792661,1223690418957586443:b,692717393503453284:o,1292762566606585858,779843063131930694:o,1330300641108688968,1365387648080023572:o,947480095730315285,778605583988817971:o,1446577804018974860,1405844093237465089,785588477890789406,1450816239592144957:o,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:b,516631614319624193,1395746373139431565,432178088252669954,1251522518963982369,322762034007638017,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410:o,376057817720815628,781224979919274014,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310:b,442350609174233100,1289882684671397961:o
31;1458852113416196108;"Proposition de loi - Reconnaissance mutuelle avec la République des Gaufres Salées";0.5;"l";692717393503453284;1424830966287044678;1424789525493973066;1767887847;604800;1;1375846324301336676:o,767059570710413384,452502457684197399,1204140730654793751:o,539168852429242397:o,1445807853028773940,1449803263703650384,1201956865450455100:o,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,708809413166891020,652889258343792661,1223690418957586443:b,692717393503453284:o,1292762566606585858,779843063131930694:b,1330300641108688968,1365387648080023572:o,947480095730315285,778605583988817971:o,1446577804018974860,1405844093237465089,785588477890789406,1450816239592144957:o,746035946247684126,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,1170366911071146097:o,516631614319624193,1395746373139431565,432178088252669954,1251522518963982369,322762034007638017,756865029067898960:b,581187099252752395,1127299739017285655,626799515688763410:o,376057817720815628,781224979919274014,1446830974439522399,689192821944877057,330333692008464385,568441353231400960,778989989601083392,777127599569633310:b,442350609174233100,1289882684671397961:o
